pair_id, entrailment_judgment, relatedness_score
125, NEUTRAL, 2.4705758
128, NEUTRAL, 2.2003417
132, CONTRADICTION, 2.8650947
134, NEUTRAL, 3.7339087
135, NEUTRAL, 2.9415245
137, NEUTRAL, 3.5833664
138, NEUTRAL, 1.1825956
142, ENTAILMENT, 4.4864388
143, CONTRADICTION, 3.0391288
144, NEUTRAL, 2.4497437
145, NEUTRAL, 1.8506969
147, NEUTRAL, 2.3129325
149, ENTAILMENT, 4.365262
151, ENTAILMENT, 4.451726
152, CONTRADICTION, 3.005395
153, CONTRADICTION, 3.9094748
154, CONTRADICTION, 3.095758
155, NEUTRAL, 3.4198775
156, CONTRADICTION, 3.3124704
157, ENTAILMENT, 4.347951
158, ENTAILMENT, 3.1010127
160, ENTAILMENT, 4.4335704
162, NEUTRAL, 2.667759
165, NEUTRAL, 2.8342648
166, ENTAILMENT, 3.493825
167, ENTAILMENT, 4.300131
168, NEUTRAL, 3.151813
169, ENTAILMENT, 4.5733104
171, ENTAILMENT, 4.378308
172, ENTAILMENT, 2.9128299
174, ENTAILMENT, 2.922555
175, ENTAILMENT, 2.9350972
177, ENTAILMENT, 3.0280175
178, ENTAILMENT, 4.2604046
179, NEUTRAL, 2.8457155
180, ENTAILMENT, 4.434762
181, ENTAILMENT, 3.539065
182, NEUTRAL, 3.1401439
187, NEUTRAL, 2.5973268
189, NEUTRAL, 2.481022
190, NEUTRAL, 2.4510036
191, ENTAILMENT, 4.070503
193, ENTAILMENT, 4.5680747
195, NEUTRAL, 3.8867488
196, NEUTRAL, 3.128202
198, CONTRADICTION, 3.0065389
199, ENTAILMENT, 4.1006536
203, NEUTRAL, 3.6338959
204, ENTAILMENT, 3.430962
206, NEUTRAL, 3.4573789
207, NEUTRAL, 2.9584436
208, ENTAILMENT, 3.454752
209, NEUTRAL, 3.300446
210, CONTRADICTION, 2.973484
212, NEUTRAL, 3.2390437
213, NEUTRAL, 2.7202997
214, NEUTRAL, 2.42763
220, NEUTRAL, 3.8063316
221, ENTAILMENT, 4.389808
222, ENTAILMENT, 4.2510734
229, ENTAILMENT, 4.3465786
230, CONTRADICTION, 3.1620631
231, ENTAILMENT, 4.0466313
235, NEUTRAL, 1.2055484
239, NEUTRAL, 1.2982303
242, ENTAILMENT, 4.449588
243, NEUTRAL, 3.6203427
244, NEUTRAL, 2.8385396
245, ENTAILMENT, 3.6864538
246, NEUTRAL, 1.8710967
247, NEUTRAL, 2.7808056
250, NEUTRAL, 2.6630893
251, NEUTRAL, 3.044446
252, NEUTRAL, 3.4058094
255, ENTAILMENT, 4.3568344
261, NEUTRAL, 2.3930926
262, ENTAILMENT, 4.388117
263, ENTAILMENT, 3.6683164
264, ENTAILMENT, 3.472588
267, NEUTRAL, 3.0329914
268, NEUTRAL, 2.3375797
270, NEUTRAL, 3.3519564
271, NEUTRAL, 3.1403294
274, ENTAILMENT, 3.7262025
275, ENTAILMENT, 3.9666967
278, NEUTRAL, 2.5498
281, NEUTRAL, 2.5058126
282, ENTAILMENT, 4.147583
284, ENTAILMENT, 4.322286
288, NEUTRAL, 3.6393676
290, NEUTRAL, 3.7674541
292, NEUTRAL, 2.7617488
294, NEUTRAL, 3.4590802
295, NEUTRAL, 2.8342447
297, NEUTRAL, 2.0256295
298, NEUTRAL, 1.6912204
299, NEUTRAL, 2.3639474
300, ENTAILMENT, 4.184813
306, NEUTRAL, 3.363657
307, NEUTRAL, 3.42622
308, NEUTRAL, 3.1126022
314, CONTRADICTION, 3.583651
316, NEUTRAL, 1.0834769
318, NEUTRAL, 1.7496952
319, NEUTRAL, 1.771304
320, NEUTRAL, 0.71230745
321, NEUTRAL, 1.052508
322, NEUTRAL, 4.1489058
324, ENTAILMENT, 3.8132763
325, CONTRADICTION, 2.8847833
326, NEUTRAL, 0.84496677
328, NEUTRAL, 0.58804417
330, NEUTRAL, 0.58106697
334, NEUTRAL, 3.426423
336, ENTAILMENT, 3.7246485
337, ENTAILMENT, 3.465241
343, NEUTRAL, 3.7883825
345, NEUTRAL, 2.117074
348, NEUTRAL, 2.2256393
349, NEUTRAL, 1.4837886
350, NEUTRAL, 2.2121406
352, CONTRADICTION, 3.6320362
353, ENTAILMENT, 4.741845
355, CONTRADICTION, 3.2832408
356, NEUTRAL, 3.3067918
357, CONTRADICTION, 3.0451741
359, NEUTRAL, 2.959577
364, ENTAILMENT, 4.5825577
365, ENTAILMENT, 3.26332
368, NEUTRAL, 3.9533272
369, NEUTRAL, 2.8083234
371, ENTAILMENT, 4.0542617
376, NEUTRAL, 1.925439
383, NEUTRAL, 2.9584284
385, NEUTRAL, 3.9299212
386, NEUTRAL, 3.6890278
388, NEUTRAL, 3.6304092
389, NEUTRAL, 3.0643387
399, NEUTRAL, 2.2508883
400, NEUTRAL, 2.8800993
401, NEUTRAL, 2.6385202
405, NEUTRAL, 2.7284012
406, ENTAILMENT, 2.512135
407, NEUTRAL, 0.30444837
408, ENTAILMENT, 3.2662764
411, ENTAILMENT, 4.3094378
412, NEUTRAL, 3.831646
414, NEUTRAL, 3.4931479
416, NEUTRAL, 2.5515757
418, NEUTRAL, 2.8214154
419, NEUTRAL, 3.3994842
420, NEUTRAL, 2.3271313
421, NEUTRAL, 2.733807
424, ENTAILMENT, 4.3647823
425, CONTRADICTION, 2.98492
426, ENTAILMENT, 4.3051977
429, NEUTRAL, 3.620294
430, ENTAILMENT, 3.8492384
431, NEUTRAL, 2.7151618
432, ENTAILMENT, 3.9256692
433, ENTAILMENT, 4.3181496
437, NEUTRAL, 2.883399
443, ENTAILMENT, 3.9767122
444, ENTAILMENT, 3.8452435
445, ENTAILMENT, 4.186987
448, NEUTRAL, 2.9486136
452, NEUTRAL, 3.5238075
453, ENTAILMENT, 4.273238
455, NEUTRAL, 2.996561
456, CONTRADICTION, 3.24611
458, NEUTRAL, 1.5120367
459, NEUTRAL, 1.4173557
460, NEUTRAL, 2.555575
463, CONTRADICTION, 2.9381804
464, ENTAILMENT, 3.9695692
466, CONTRADICTION, 3.583972
467, NEUTRAL, 2.879758
468, NEUTRAL, 2.7702017
469, ENTAILMENT, 4.2912498
471, NEUTRAL, 3.1134233
472, NEUTRAL, 3.293858
474, CONTRADICTION, 3.5421934
478, CONTRADICTION, 3.3107986
479, NEUTRAL, 3.548643
480, CONTRADICTION, 3.240232
481, ENTAILMENT, 3.9462204
482, ENTAILMENT, 4.231929
483, NEUTRAL, 2.7896867
487, NEUTRAL, 2.2602682
488, NEUTRAL, 2.074067
490, NEUTRAL, 2.7992373
492, CONTRADICTION, 2.9754524
493, ENTAILMENT, 2.8941245
495, NEUTRAL, 3.1998749
498, NEUTRAL, 2.8849158
501, NEUTRAL, 2.4894018
502, ENTAILMENT, 4.3031354
503, CONTRADICTION, 3.1382961
504, NEUTRAL, 3.0053554
509, NEUTRAL, 2.7994924
510, NEUTRAL, 2.1651926
511, NEUTRAL, 3.6537685
512, NEUTRAL, 2.9810739
517, ENTAILMENT, 3.290794
518, ENTAILMENT, 4.4739933
519, CONTRADICTION, 3.6723323
521, NEUTRAL, 3.382811
523, NEUTRAL, 1.9188131
525, NEUTRAL, 2.3276167
532, CONTRADICTION, 2.7646365
533, NEUTRAL, 3.3021078
534, ENTAILMENT, 4.1909685
536, NEUTRAL, 3.3917027
537, NEUTRAL, 3.2664528
539, NEUTRAL, 2.6238298
540, NEUTRAL, 2.7792878
543, NEUTRAL, 2.8807077
544, ENTAILMENT, 4.6494894
546, ENTAILMENT, 4.24554
547, NEUTRAL, 2.184185
549, NEUTRAL, 2.548005
553, NEUTRAL, 2.2687483
554, ENTAILMENT, 4.399984
558, NEUTRAL, 3.7475643
559, ENTAILMENT, 3.1532688
562, NEUTRAL, 2.371861
563, NEUTRAL, 3.4578915
566, NEUTRAL, 3.5130024
567, ENTAILMENT, 4.666078
569, NEUTRAL, 3.675089
571, CONTRADICTION, 3.329187
572, ENTAILMENT, 3.8267589
573, NEUTRAL, 3.6453333
574, CONTRADICTION, 2.9296293
575, NEUTRAL, 3.059023
576, ENTAILMENT, 3.607408
577, NEUTRAL, 3.119482
578, NEUTRAL, 2.9735436
579, NEUTRAL, 3.5715346
580, ENTAILMENT, 4.4739885
582, ENTAILMENT, 4.0286026
583, ENTAILMENT, 4.7305236
584, CONTRADICTION, 3.42062
585, ENTAILMENT, 3.2181711
589, NEUTRAL, 3.084261
590, ENTAILMENT, 3.1269975
591, ENTAILMENT, 4.5617237
593, ENTAILMENT, 4.8428535
594, CONTRADICTION, 3.2720466
595, NEUTRAL, 2.5698795
596, NEUTRAL, 2.4319687
598, NEUTRAL, 3.001165
600, ENTAILMENT, 4.8797665
602, CONTRADICTION, 2.9608946
607, NEUTRAL, 1.5802006
608, NEUTRAL, 1.7360502
610, NEUTRAL, 1.4811612
612, NEUTRAL, 1.7984513
613, ENTAILMENT, 4.3380275
614, CONTRADICTION, 3.6040058
615, ENTAILMENT, 3.5576053
616, ENTAILMENT, 4.470903
618, NEUTRAL, 2.4329977
620, NEUTRAL, 2.4789276
623, NEUTRAL, 3.4905672
624, NEUTRAL, 3.238997
627, NEUTRAL, 2.7344236
633, NEUTRAL, 3.1553016
635, NEUTRAL, 3.7763658
636, NEUTRAL, 2.656836
639, ENTAILMENT, 4.7078753
640, ENTAILMENT, 4.1675587
642, ENTAILMENT, 4.888086
644, NEUTRAL, 3.6628094
652, ENTAILMENT, 4.865171
654, NEUTRAL, 3.3785367
656, NEUTRAL, 3.9619021
658, NEUTRAL, 4.181544
659, NEUTRAL, 3.6512861
662, NEUTRAL, 3.1617937
664, NEUTRAL, 4.2465334
665, ENTAILMENT, 4.29859
666, CONTRADICTION, 3.3826237
667, ENTAILMENT, 4.363584
669, ENTAILMENT, 3.8605852
670, NEUTRAL, 3.0286398
673, NEUTRAL, 3.0036345
674, NEUTRAL, 2.761263
675, NEUTRAL, 3.1064677
677, CONTRADICTION, 3.8853316
681, ENTAILMENT, 4.0258913
682, NEUTRAL, 3.5989509
683, NEUTRAL, 3.1524806
684, ENTAILMENT, 3.1868148
686, NEUTRAL, 2.8835769
688, NEUTRAL, 3.5309315
694, ENTAILMENT, 4.1933827
695, NEUTRAL, 2.7864347
700, NEUTRAL, 2.4952927
701, NEUTRAL, 2.4964852
705, ENTAILMENT, 4.19141
706, CONTRADICTION, 3.2361588
707, ENTAILMENT, 3.5108929
708, NEUTRAL, 2.4138823
710, NEUTRAL, 2.3209767
711, NEUTRAL, 2.46629
712, NEUTRAL, 3.0291939
713, ENTAILMENT, 4.441726
714, NEUTRAL, 3.4230208
716, ENTAILMENT, 4.103082
719, NEUTRAL, 3.1732259
720, NEUTRAL, 2.9637518
721, NEUTRAL, 2.9789524
724, NEUTRAL, 2.7419987
726, ENTAILMENT, 4.512763
739, CONTRADICTION, 3.819828
740, NEUTRAL, 3.6067405
742, NEUTRAL, 3.70161
743, NEUTRAL, 2.81889
744, NEUTRAL, 2.976551
750, ENTAILMENT, 3.4124403
751, NEUTRAL, 2.6264253
753, CONTRADICTION, 3.178217
755, NEUTRAL, 2.4260778
756, NEUTRAL, 2.6142297
758, NEUTRAL, 3.009841
763, ENTAILMENT, 3.5810962
767, NEUTRAL, 2.5619483
770, NEUTRAL, 2.8897986
771, ENTAILMENT, 3.4413476
773, NEUTRAL, 3.199932
775, CONTRADICTION, 3.2903395
776, NEUTRAL, 1.941636
778, NEUTRAL, 1.9077021
779, NEUTRAL, 2.560388
781, ENTAILMENT, 4.4788346
782, CONTRADICTION, 3.4240308
786, NEUTRAL, 2.8018894
787, NEUTRAL, 3.6056008
788, NEUTRAL, 3.2768326
790, NEUTRAL, 3.7419763
794, ENTAILMENT, 4.275119
795, NEUTRAL, 3.5790386
798, CONTRADICTION, 3.2186618
800, NEUTRAL, 1.9097918
801, NEUTRAL, 2.5077858
803, NEUTRAL, 2.7703996
805, ENTAILMENT, 4.572612
806, CONTRADICTION, 3.9151602
807, NEUTRAL, 3.6091814
808, CONTRADICTION, 3.6317081
809, CONTRADICTION, 2.6390896
810, NEUTRAL, 1.4028033
814, NEUTRAL, 2.188469
815, NEUTRAL, 1.7182618
817, ENTAILMENT, 3.7040267
818, ENTAILMENT, 4.273584
819, CONTRADICTION, 3.1006947
821, NEUTRAL, 1.36294
823, NEUTRAL, 2.221797
826, NEUTRAL, 1.1241864
828, CONTRADICTION, 3.5773096
829, NEUTRAL, 3.2844706
832, NEUTRAL, 3.2036366
833, NEUTRAL, 3.3609886
834, NEUTRAL, 2.6799164
835, NEUTRAL, 3.04486
837, NEUTRAL, 2.4754686
838, NEUTRAL, 3.1441917
840, ENTAILMENT, 4.594347
842, NEUTRAL, 3.259284
843, NEUTRAL, 3.4995227
847, NEUTRAL, 2.0969853
849, NEUTRAL, 1.6378132
850, NEUTRAL, 1.8863274
853, ENTAILMENT, 3.8411107
854, CONTRADICTION, 2.9835677
856, ENTAILMENT, 4.0535064
861, CONTRADICTION, 2.5850592
863, ENTAILMENT, 3.7699223
865, CONTRADICTION, 3.434454
871, NEUTRAL, 3.0199447
875, NEUTRAL, 3.4599638
877, ENTAILMENT, 3.931108
884, NEUTRAL, 2.5693245
885, NEUTRAL, 2.5042787
886, NEUTRAL, 2.9356365
890, ENTAILMENT, 4.074319
891, CONTRADICTION, 2.7012877
894, ENTAILMENT, 3.6180148
896, NEUTRAL, 3.1037765
897, CONTRADICTION, 2.3717508
900, NEUTRAL, 3.5660348
901, ENTAILMENT, 3.9421587
903, NEUTRAL, 3.7245665
905, NEUTRAL, 3.2043047
907, NEUTRAL, 2.9340796
911, NEUTRAL, 3.677391
912, ENTAILMENT, 4.7906547
914, ENTAILMENT, 4.546602
916, ENTAILMENT, 3.3498802
918, NEUTRAL, 0.50312483
919, NEUTRAL, 3.220346
921, NEUTRAL, 2.8542175
923, ENTAILMENT, 4.0021114
924, CONTRADICTION, 3.2806764
925, NEUTRAL, 3.0654187
926, ENTAILMENT, 4.6293654
928, NEUTRAL, 3.9402523
929, NEUTRAL, 3.770481
930, ENTAILMENT, 4.182792
934, ENTAILMENT, 4.728149
937, ENTAILMENT, 4.546996
938, NEUTRAL, 3.2527404
939, NEUTRAL, 3.1741319
941, NEUTRAL, 3.1913934
942, NEUTRAL, 3.487597
946, NEUTRAL, 3.4376645
951, NEUTRAL, 3.7060947
952, ENTAILMENT, 3.8712292
954, NEUTRAL, 2.2285066
955, NEUTRAL, 3.0463076
958, ENTAILMENT, 3.8167205
964, CONTRADICTION, 3.2813578
965, ENTAILMENT, 4.480678
966, NEUTRAL, 3.9666672
968, NEUTRAL, 2.7768092
969, NEUTRAL, 3.922782
971, NEUTRAL, 2.0258732
972, NEUTRAL, 3.7602057
974, CONTRADICTION, 3.4820395
976, ENTAILMENT, 4.120767
977, ENTAILMENT, 3.869854
981, NEUTRAL, 1.6435446
982, NEUTRAL, 2.0253558
983, NEUTRAL, 1.6888417
986, ENTAILMENT, 4.4650764
990, ENTAILMENT, 4.796539
992, NEUTRAL, 1.3726004
993, NEUTRAL, 1.3279873
995, NEUTRAL, 0.8485428
997, NEUTRAL, 1.3482281
999, ENTAILMENT, 4.3818083
1001, ENTAILMENT, 4.4951563
1003, NEUTRAL, 1.8204402
1005, NEUTRAL, 1.5749675
1006, NEUTRAL, 1.7338492
1011, ENTAILMENT, 4.5638223
1012, NEUTRAL, 2.9156575
1013, NEUTRAL, 3.1097388
1014, NEUTRAL, 3.066543
1015, NEUTRAL, 2.6854858
1017, NEUTRAL, 3.0251079
1020, NEUTRAL, 3.0281157
1023, NEUTRAL, 3.0276408
1024, ENTAILMENT, 4.439231
1025, NEUTRAL, 3.3800259
1027, NEUTRAL, 3.0649838
1030, NEUTRAL, 2.3814802
1032, ENTAILMENT, 4.7998643
1034, ENTAILMENT, 3.696354
1035, ENTAILMENT, 4.487567
1036, CONTRADICTION, 3.322877
1040, NEUTRAL, 2.6208587
1041, ENTAILMENT, 3.808694
1042, NEUTRAL, 2.8845353
1051, NEUTRAL, 1.7780656
1056, NEUTRAL, 2.4763565
1058, ENTAILMENT, 4.455404
1059, CONTRADICTION, 3.2569876
1060, NEUTRAL, 3.036994
1062, CONTRADICTION, 3.4680958
1063, NEUTRAL, 3.6463609
1066, NEUTRAL, 2.7298713
1067, NEUTRAL, 3.681601
1070, NEUTRAL, 3.4778595
1071, ENTAILMENT, 4.8139997
1072, NEUTRAL, 2.2992158
1073, ENTAILMENT, 4.802509
1075, NEUTRAL, 3.907352
1077, NEUTRAL, 3.3795266
1078, NEUTRAL, 3.3271694
1079, ENTAILMENT, 3.6760583
1081, NEUTRAL, 3.870739
1085, ENTAILMENT, 4.5587654
1086, NEUTRAL, 3.7981067
1089, NEUTRAL, 3.4280334
1098, ENTAILMENT, 4.1468983
1100, NEUTRAL, 0.061027884
1101, NEUTRAL, 0.13914263
1103, NEUTRAL, 0.08330345
1106, ENTAILMENT, 4.775874
1107, CONTRADICTION, 3.3518586
1110, CONTRADICTION, 3.4137669
1113, NEUTRAL, 0.580109
1114, NEUTRAL, 0.556082
1116, NEUTRAL, 0.385283
1121, ENTAILMENT, 4.3286223
1123, ENTAILMENT, 4.1727343
1124, CONTRADICTION, 3.4428616
1126, ENTAILMENT, 4.4430075
1127, CONTRADICTION, 3.200687
1130, CONTRADICTION, 3.225081
1131, ENTAILMENT, 4.4257183
1132, NEUTRAL, 3.397028
1134, NEUTRAL, 3.5681086
1136, NEUTRAL, 3.2312841
1138, NEUTRAL, 3.7081017
1139, ENTAILMENT, 4.762184
1140, CONTRADICTION, 3.4208574
1141, ENTAILMENT, 4.0699806
1142, CONTRADICTION, 3.6166892
1143, NEUTRAL, 0.078826785
1144, NEUTRAL, 0.053102016
1146, NEUTRAL, 0.13229644
1148, ENTAILMENT, 3.3235583
1150, ENTAILMENT, 4.169833
1151, CONTRADICTION, 3.7249742
1152, NEUTRAL, 2.4352355
1156, NEUTRAL, 2.4249115
1158, ENTAILMENT, 3.2877321
1159, ENTAILMENT, 4.2043915
1160, NEUTRAL, 3.2975345
1163, NEUTRAL, 3.0883503
1164, NEUTRAL, 2.2673955
1166, ENTAILMENT, 4.905
1168, ENTAILMENT, 4.8035917
1171, NEUTRAL, 2.0387816
1172, NEUTRAL, 3.0429258
1173, NEUTRAL, 2.496863
1174, NEUTRAL, 3.175488
1176, CONTRADICTION, 3.406746
1181, NEUTRAL, 0.89200294
1183, NEUTRAL, 0.17714107
1185, NEUTRAL, 3.0585308
1186, ENTAILMENT, 4.4465203
1187, NEUTRAL, 3.4343476
1189, NEUTRAL, 3.6135936
1197, CONTRADICTION, 2.751051
1198, NEUTRAL, 3.3624296
1199, NEUTRAL, 2.3269591
1201, NEUTRAL, 2.8490338
1203, NEUTRAL, 2.8295603
1204, NEUTRAL, 3.9819818
1208, ENTAILMENT, 4.0007443
1209, CONTRADICTION, 2.9945765
1210, NEUTRAL, 2.7467585
1211, NEUTRAL, 2.1177902
1216, CONTRADICTION, 3.415752
1217, ENTAILMENT, 4.316422
1218, CONTRADICTION, 3.43963
1220, NEUTRAL, 3.4439335
1223, NEUTRAL, 3.7854986
1224, ENTAILMENT, 4.868062
1225, CONTRADICTION, 3.0631895
1226, ENTAILMENT, 4.127465
1229, NEUTRAL, 1.9486543
1231, NEUTRAL, 2.211444
1233, ENTAILMENT, 4.3103814
1234, CONTRADICTION, 3.2122035
1235, ENTAILMENT, 4.0219197
1238, ENTAILMENT, 3.7598314
1243, CONTRADICTION, 2.8250313
1245, CONTRADICTION, 2.4445996
1247, NEUTRAL, 2.137003
1250, NEUTRAL, 2.690256
1252, CONTRADICTION, 3.5694184
1253, ENTAILMENT, 4.262394
1254, NEUTRAL, 2.4004579
1256, NEUTRAL, 1.894924
1257, NEUTRAL, 2.561091
1258, NEUTRAL, 1.1156567
1260, ENTAILMENT, 4.8058233
1261, CONTRADICTION, 3.1634445
1262, ENTAILMENT, 4.9005303
1263, CONTRADICTION, 3.1262736
1264, ENTAILMENT, 4.321291
1265, CONTRADICTION, 3.3893495
1267, CONTRADICTION, 2.903924
1269, NEUTRAL, 2.1928763
1272, CONTRADICTION, 3.4646506
1277, NEUTRAL, 0.85291946
1278, NEUTRAL, 2.539628
1279, NEUTRAL, 1.8623708
1281, CONTRADICTION, 3.0801578
1285, NEUTRAL, 1.4330548
1286, NEUTRAL, 1.6080512
1288, CONTRADICTION, 3.321097
1289, ENTAILMENT, 4.6944118
1290, ENTAILMENT, 4.1267223
1295, NEUTRAL, 3.646081
1296, NEUTRAL, 3.8355846
1298, ENTAILMENT, 3.4561424
1299, ENTAILMENT, 4.133613
1300, CONTRADICTION, 3.5895767
1301, NEUTRAL, 2.8582911
1304, NEUTRAL, 2.0159001
1306, NEUTRAL, 0.24165356
1307, NEUTRAL, 1.2399927
1309, ENTAILMENT, 3.9383144
1310, CONTRADICTION, 3.0906997
1312, CONTRADICTION, 3.6015477
1313, NEUTRAL, 0.11913967
1314, NEUTRAL, 0.012517214
1315, NEUTRAL, 0.0309124
1316, NEUTRAL, 0.038882375
1320, ENTAILMENT, 4.54026
1322, NEUTRAL, 0.6688651
1323, ENTAILMENT, 4.507982
1324, ENTAILMENT, 3.904457
1325, NEUTRAL, 0.38860488
1327, ENTAILMENT, 3.607315
1330, ENTAILMENT, 3.705316
1331, ENTAILMENT, 4.605922
1332, CONTRADICTION, 3.4332604
1334, NEUTRAL, 3.0036225
1337, ENTAILMENT, 3.4640226
1338, CONTRADICTION, 2.788416
1339, ENTAILMENT, 3.5326605
1340, NEUTRAL, 4.1250234
1343, NEUTRAL, 3.2068596
1347, CONTRADICTION, 3.1008668
1348, ENTAILMENT, 4.544124
1349, NEUTRAL, 3.5131073
1351, ENTAILMENT, 4.4658155
1353, ENTAILMENT, 4.2795553
1356, CONTRADICTION, 3.4627924
1357, ENTAILMENT, 4.367877
1360, ENTAILMENT, 3.933689
1362, ENTAILMENT, 4.1366525
1363, CONTRADICTION, 3.3641982
1364, ENTAILMENT, 3.7867117
1366, ENTAILMENT, 3.7465506
1367, ENTAILMENT, 4.146655
1369, ENTAILMENT, 4.4541
1370, CONTRADICTION, 2.8420682
1374, NEUTRAL, 3.108508
1375, ENTAILMENT, 4.499366
1377, CONTRADICTION, 3.376144
1382, NEUTRAL, 3.532176
1383, NEUTRAL, 3.474894
1391, NEUTRAL, 0.12927926
1392, NEUTRAL, 0.15543437
1393, NEUTRAL, 0.10421753
1394, ENTAILMENT, 4.1250677
1395, NEUTRAL, 2.2560382
1397, CONTRADICTION, 3.634913
1398, NEUTRAL, 2.2408433
1401, NEUTRAL, 2.286847
1402, NEUTRAL, 2.3945599
1406, CONTRADICTION, 3.16427
1411, NEUTRAL, 1.0425395
1413, NEUTRAL, 3.5146675
1416, ENTAILMENT, 4.435932
1418, NEUTRAL, 3.1719265
1420, ENTAILMENT, 4.380162
1422, NEUTRAL, 3.381991
1423, ENTAILMENT, 4.532826
1424, CONTRADICTION, 3.6035242
1425, NEUTRAL, 0.10803044
1426, NEUTRAL, 0.16790366
1428, NEUTRAL, 0.2966702
1430, ENTAILMENT, 4.3438945
1433, CONTRADICTION, 3.82228
1436, NEUTRAL, 2.472344
1437, NEUTRAL, 1.9607116
1439, ENTAILMENT, 4.374326
1440, CONTRADICTION, 3.2208142
1441, ENTAILMENT, 4.159319
1442, NEUTRAL, 1.7929932
1445, NEUTRAL, 1.4426974
1447, NEUTRAL, 1.5004815
1449, NEUTRAL, 3.4970908
1450, ENTAILMENT, 4.406997
1451, CONTRADICTION, 2.812367
1452, NEUTRAL, 1.1502112
1454, NEUTRAL, 0.46332192
1456, NEUTRAL, 1.1811327
1457, ENTAILMENT, 3.9608169
1459, ENTAILMENT, 3.1793733
1460, NEUTRAL, 2.316186
1462, NEUTRAL, 0.1132437
1465, NEUTRAL, 0.035614848
1468, ENTAILMENT, 4.634998
1471, NEUTRAL, 0.8860792
1472, NEUTRAL, 2.0183945
1475, NEUTRAL, 3.317996
1477, ENTAILMENT, 4.280163
1478, CONTRADICTION, 3.4421906
1485, CONTRADICTION, 3.198451
1490, ENTAILMENT, 4.033336
1491, CONTRADICTION, 2.8565931
1492, NEUTRAL, 3.3006406
1496, CONTRADICTION, 3.8291392
1497, ENTAILMENT, 4.337045
1500, CONTRADICTION, 3.6058812
1502, ENTAILMENT, 3.9146361
1507, NEUTRAL, 2.00943
1508, NEUTRAL, 2.6296663
1510, NEUTRAL, 2.208191
1512, NEUTRAL, 2.6077027
1515, NEUTRAL, 0.18372834
1516, NEUTRAL, 0.082570076
1518, NEUTRAL, 0.084427476
1520, NEUTRAL, 3.109582
1522, ENTAILMENT, 4.0762033
1526, NEUTRAL, 2.9281402
1528, NEUTRAL, 2.547081
1529, ENTAILMENT, 4.0077596
1530, NEUTRAL, 2.7553763
1533, NEUTRAL, 0.03822255
1537, NEUTRAL, 0.03673184
1539, CONTRADICTION, 3.2131124
1540, ENTAILMENT, 4.209376
1542, ENTAILMENT, 2.9411721
1543, NEUTRAL, 2.4376793
1544, NEUTRAL, 2.0535808
1546, NEUTRAL, 2.93682
1548, CONTRADICTION, 3.0518298
1554, NEUTRAL, 2.1104498
1555, NEUTRAL, 3.427731
1556, NEUTRAL, 3.740924
1560, NEUTRAL, 3.7230697
1561, NEUTRAL, 2.874527
1562, NEUTRAL, 2.1701183
1564, NEUTRAL, 3.7046752
1567, NEUTRAL, 3.5407038
1568, ENTAILMENT, 4.765316
1569, CONTRADICTION, 2.784515
1571, NEUTRAL, 1.7935122
